customer,recency,frequency,monetary,cluster,cluster_label
c75b5380bzs,14,2,1037.0,4,Cliente Perdido
c75cfa36bzs,5,1,323.68,1,Cliente Prometedor
c7603e01bzs,17,2,4336.19,0,Clientes que Necesitan Atención
c76afcc4bzs,21,1,2135.88,0,Clientes que Necesitan Atención
c76e2542bzs,23,1,1649.17,0,Clientes que Necesitan Atención
c79af40cbzs,21,3,2896.63,0,Clientes que Necesitan Atención
c79b5df3bzs,1,6,61629.079999999994,1,Cliente Prometedor
c7a1f760bzs,8,2,3126.8100000000004,4,Cliente Perdido
c7c8dbe3bzs,16,1,2289.73,4,Cliente Perdido
c7ccbeb8bzs,24,1,1301.18,0,Clientes que Necesitan Atención
c7d60dafbzs,14,4,14591.78,4,Cliente Perdido
c7de2946bzs,17,1,761.43,0,Clientes que Necesitan Atención
c8029da9bzs,22,1,1461.15,0,Clientes que Necesitan Atención
c802dac7bzs,10,1,518.84,4,Cliente Perdido
c8067577bzs,9,1,663.34,4,Cliente Perdido
c816664dbzs,21,1,1370.6403,0,Clientes que Necesitan Atención
c8197e05bzs,8,2,3844.55,4,Cliente Perdido
c8228e1ebzs,16,1,425.0,4,Cliente Perdido
c8259ccdbzs,13,1,1739.1,4,Cliente Perdido
c828623bbzs,6,1,1049.58,1,Cliente Prometedor
c839384ebzs,7,1,906.61,1,Cliente Prometedor
c83bc5e2bzs,23,1,12019.68,0,Clientes que Necesitan Atención
c83d10e4bzs,2,1,689.69,1,Cliente Prometedor
c84cc02dbzs,8,2,1251.54,4,Cliente Perdido
c84cd273bzs,6,3,4149.530000000001,1,Cliente Prometedor
c8715373bzs,19,3,4831.570000000001,0,Clientes que Necesitan Atención
c8741f48bzs,17,3,3575.27,0,Clientes que Necesitan Atención
c877b95abzs,8,1,1038.87,4,Cliente Perdido
c87d09d3bzs,2,20,49309.01,1,Cliente Prometedor
c888f3bebzs,21,1,1101.09,0,Clientes que Necesitan Atención
c8969ba1bzs,3,4,63097.03,1,Cliente Prometedor
c8a991d6bzs,23,1,721.14,0,Clientes que Necesitan Atención
c8aab3fcbzs,22,1,419.39,0,Clientes que Necesitan Atención
c8ac2b92bzs,24,1,2824.38,0,Clientes que Necesitan Atención
c8c1baa5bzs,16,1,763.81,4,Cliente Perdido
c8cd8714bzs,1,2,1045.5,1,Cliente Prometedor
c8d18b04bzs,23,1,698.7,0,Clientes que Necesitan Atención
c8d65dcbbzs,18,1,1359.66,0,Clientes que Necesitan Atención
c8d6a117bzs,13,1,1352.18,4,Cliente Perdido
c8de5746bzs,23,1,1931.03,0,Clientes que Necesitan Atención
c8de815dbzs,22,2,15831.59,0,Clientes que Necesitan Atención
c8e2a2dcbzs,2,1,436.39,1,Cliente Prometedor
c8fe5e9bbzs,18,1,934.15,0,Clientes que Necesitan Atención
c903af85bzs,21,1,1539.69,0,Clientes que Necesitan Atención
c9103cf2bzs,1,26,42879.78,2,Cliente Leal
c91797d7bzs,22,1,972.91,0,Clientes que Necesitan Atención
c9344edabzs,3,1,588.54,1,Cliente Prometedor
c9378a12bzs,23,1,1498.21,0,Clientes que Necesitan Atención
c9564f5ebzs,22,1,889.95,0,Clientes que Necesitan Atención
c97a8423bzs,21,1,4871.18,0,Clientes que Necesitan Atención
c97c4f4dbzs,5,2,2856.68,1,Cliente Prometedor
c97d7216bzs,2,4,3044.87,1,Cliente Prometedor
c9816ac8bzs,22,1,3171.01,0,Clientes que Necesitan Atención
c98b2acdbzs,11,6,9864.08,4,Cliente Perdido
c98e7a55bzs,15,1,754.29,4,Cliente Perdido
c9954d22bzs,3,1,2585.53,1,Cliente Prometedor
c9a2bbbfbzs,13,1,421.26,4,Cliente Perdido
c9a76b0fbzs,24,1,1416.61,0,Clientes que Necesitan Atención
c9aca982bzs,21,1,5731.55,0,Clientes que Necesitan Atención
c9b22aeabzs,12,1,985.83,4,Cliente Perdido
c9bf9912bzs,21,2,643.62,0,Clientes que Necesitan Atención
c9e643e2bzs,5,4,8711.48,1,Cliente Prometedor
c9eb4abdbzs,9,2,4057.05,4,Cliente Perdido
c9ff3e30bzs,1,1,2350.76,1,Cliente Prometedor
ca070185bzs,2,1,860.71,1,Cliente Prometedor
